Date,Platform,Content Type,Pillar,Caption,Image Notes,Hashtags,Status
2026-07-07,Instagram,Carousel,Education,"Your competitor is getting jobs you should be getting. Here's exactly why.

5 things their website has that yours doesn't. Swipe →

Every one of these is fixable. Most take us under 10 minutes to deploy.

→ forgeisagentic.tech","6-slide carousel. 5 pain points + CTA final slide. Dark background, blue accents.","#LondonTrades #WebsiteDesign #Tradesman #Plumber #Electrician #Marketing #SmallBusiness",Draft
2026-07-08,LinkedIn,Text Post,Education,"The maths of why a London tradesperson with no website is leaving £40,000/year on the table.

Average job value for a London plumber: £350
Average number of people who Google before calling: 7 in 10
Average conversion rate of a good website vs no website: roughly 3:1

Now run the numbers.

If you get 20 enquiries a month through word of mouth, you're probably getting 8–10 more through Google if you have a site. Call it 8.

8 × £350 = £2,800/month
£2,800 × 12 = £33,600/year

Missed.

Not because the jobs don't exist. Because the people calling them couldn't find you.

A FORGE Package 1 website costs £74.99. The ROI question almost answers itself.

→ forgeisagentic.tech","Text only","#Tradesman #LondonBusiness #ROI #MarketingForTrades #SmallBusiness #BusinessGrowth",Draft
2026-07-09,Instagram,Image,Education,"A Facebook page is not a website. Stop treating it like one.

Facebook can change its algorithm tomorrow. Your page reach drops overnight.
Facebook can suspend your page. No warning. No appeal.
Facebook doesn't show up the same way on Google searches.

A website is yours. No platform owns it. No algorithm controls it.

When someone Googles 'plumber in Hackney' at 11pm — they find your website, or they find someone else's.

No Facebook page changes that.

→ Get a website that's actually yours: forgeisagentic.tech","Bold typography post. Dark background. Quote style: A Facebook page is not a website.","#LondonPlumber #LondonElectrician #TradiesUK #WebsiteDesign #GoogleSearch #SmallBusiness",Draft
2026-07-10,TikTok,Reel,Behind the Machine,"Gave an AI a plumber's name. Watched it build a website. 10 minutes. 🤯

This is FORGE.

→ forgeisagentic.tech","Screen recording of real deploy. Type business name, watch site generate. Speed up middle section.","#AIMarketing #WebsiteBuilder #LondonTrades #Tech #AgenticAI #BuildInPublic",Draft
2026-07-11,Facebook,Image,Education,"3 things that change the week after a London tradesperson gets a proper website.

1. They start showing up on Google Maps for local searches.
2. They stop losing leads at midnight.
3. They look like the professional they already are.

We've seen this happen for every business that goes from nothing to online.

The week after the site goes live is always the same: 'I didn't realise how much I was missing.'

→ forgeisagentic.tech — from £74.99","Three-panel graphic. Numbers 1 2 3 with short outcomes. Dark theme, blue accents.","#LondonTrades #WebDesign #SmallBusiness #Plumber #Electrician #Tradie #OnlineBusiness",Draft
2026-07-14,Instagram,Image,Trust & Authority,"We're ICO registered. Reference ZC176397. Here's why that matters to you.

When you use FORGE, your business data is handled by an agency that's legally registered to process it.

Most small marketing agencies aren't.

We registered before we onboarded a single client. Not because we had to for our first sale. Because it's the right way to operate.

ICO registration. GDPR compliance. Data processing agreements before any client site goes live.

We built FORGE for London tradespeople. They deserve an agency that takes this seriously.

→ forgeisagentic.tech","Credibility badge graphic. ICO reference visible. Registered. Compliant. Trusted.","#DataPrivacy #ICO #GDPR #LondonBusiness #TrustInBusiness #MarketingAgency",Draft
2026-07-15,LinkedIn,Text Post,Proof & Results,"Numbers from FORGE's own self-deployment. Everything we built. What it cost.

Files created: 40+
API integrations live: 12
Agentic sessions: 3–4 hours total
Equivalent traditional agency cost: £15,000–£25,000
Actual build cost (Anthropic API + tools): under £50

The stack:
Vercel · Supabase · PayPal · Anthropic · Resend · Tavus · HubSpot · Canva · Calendly · RapidAPI

What it powers:
One website that's live. One payment system that processes real money. One AI that welcomes every client with a personalised video call. One social content engine writing posts while I sleep.

We ran our own Package 5 on ourselves. The machine works.

Now we're taking it to London tradespeople.

→ forgeisagentic.tech","Text only","#BuildInPublic #AgenticAI #StartupLife #AIAgency #LondonStartup #Anthropic",Draft
2026-07-16,Facebook,Image,Direct Offer,"Every FORGE package. Every price. No hidden costs. No monthly fees.

Package 1 — Launch — £74.99
Professional website. Live today.

Package 2 — Brand — £149.99
Website + full Canva brand kit.

Package 3 — Convert — £299.99
Everything above + quote form + HubSpot CRM.

Package 4 — Book — £499.99
Everything above + Calendly booking system.

Package 5 — Grow — £624.99
Everything above + social content + comment reply engine.

One payment per package. No ongoing fees. No contracts.

→ forgeisagentic.tech","Package pricing table graphic. 5 rows, progressive colour build. FORGE logo top.","#LondonMarketing #WebsiteDesign #AIAgency #Tradesman #Plumber #Electrician #Builder",Draft
2026-07-17,TikTok,Reel,Direct Offer,"No website? Here's exactly what to do. 👇

forgeisagentic.tech — Package 1 — £74.99

10 minutes. Live today.","Talking head — Aaron direct to camera. Calm, direct, no fluff. Natural light, dark background.","#LondonTrades #Plumber #Electrician #Builder #AIMarketing #Website",Draft
2026-07-18,Instagram,Image,Direct Offer,"Month 1 done. Here's what we built. Here's what's next.

The machine: live.
The website: live.
The payment system: live.
The social engine: clearly running.

FORGE went from concept to full agency stack in one agentic build session. Before a single client.

Next month: first client deployments. Real before/afters. Real London tradespeople getting real results.

If you want to be one of them — the link's in bio.

Package 1 starts at £74.99. We'll have your site live before you finish your next cup of tea.

→ forgeisagentic.tech","Monthly wrap-up graphic. Month 1 Complete. Checklist of what's live. Bold, dark theme.","#ForgeAgentic #AIAgency #LondonMarketing #BuildInPublic #Month1 #AgenticAI #forgeisagentic",Draft
